Id,SalePrice
1461,118932.48757646735
1462,163397.15070668148
1463,189132.39568941927
1464,199815.5977913639
1465,212407.06375307034
1466,172225.7558552571
1467,180164.26496442416
1468,166707.27234742726
1469,200878.6531074192
1470,110886.47201810317
1471,156321.5880115724
1472,100819.11476411397
1473,98493.57071191684
1474,137331.2862842743
1475,87781.48179087637
1476,374524.0297592764
1477,267115.80250163865
1478,275743.3393802436
1479,295364.82225488033
1480,462427.0101961361
1481,319643.8343278337
1482,213063.02731088802
1483,178264.0511826017
1484,157199.89162591303
1485,190785.84844564012
1486,198049.32039466134
1487,357722.0078527572
1488,265630.77830117964
1489,201579.65008944366
1490,269436.9714074416
1491,209802.3676627651
1492,104468.67679709365
1493,199961.40806464053
1494,296704.5015744282
1495,290422.5652169828
1496,242889.48535556355
1497,163198.17132669548
1498,160794.97800527114
1499,151200.69722008167
1500,147265.48208531548
1501,181563.89321766052
1502,127168.4502111926
1503,299622.819586408
1504,239525.51383838334
1505,229025.80077574443
1506,192626.35590541497
1507,257613.83835885036
1508,210506.88010403834
1509,158093.10085292064
1510,145262.09939621305
1511,152478.79626674426
1512,186897.5222676374
1513,148162.79220407316
1514,169420.645160823
1515,219259.02664366027
1516,166281.67018437377
1517,186515.3298397627
1518,114578.67149657267
1519,218536.48083808355
1520,129928.44496216821
1521,128251.98190369149
1522,184857.97919288435
1523,106742.72425324518
1524,116931.20864383422
1525,117266.28705182271
1526,104918.32923967236
1527,108428.54027872958
1528,137281.80224807526
1529,157550.66604714398
1530,226013.05351510938
1531,134549.93571077433
1532,106228.3738098138
1533,159353.04480927787
1534,133079.33619061462
1535,167334.55676982214
1536,110995.35416371605
1537,61244.10935672793
1538,168861.7111995577
1539,204726.49166355553
1540,108640.41991960027
1541,135548.8267084494
1542,158136.66483416906
1543,204989.13759636338
1544,87573.86385583066
1545,130767.60632042006
1546,148934.03728399178
1547,149991.60157440224
1548,148627.04395693677
1549,131940.8416576998
1550,154566.07603073586
1551,117317.33095936643
1552,163615.43939302835
1553,168411.26188754966
1554,126468.41960265761
1555,166815.18351337922
1556,80483.33196577732
1557,148363.33743877456
1558,94893.36925511328
1559,78369.24851344455
1560,123351.41891048104
1561,144276.5848552494
1562,133880.62192534143
1563,118006.81366417413
1564,166530.91207911068
1565,154231.69303343372
1566,239202.34531677136
1567,67910.14018074774
1568,229669.99164752878
1569,142386.82042492583
1570,136289.92624998154
1571,107025.94239963245
